iter	Passed	Remaining
196	429	1749
197	432	1751
198	434	1748
199	435	1743
200	437	1738
201	438	1733
202	440	1729
203	442	1724
204	443	1720
205	445	1715
206	448	1716
207	449	1712
208	451	1707
209	452	1701
210	453	1696
211	455	1691
212	456	1687
213	457	1682
214	459	1677
215	461	1673
216	462	1668
217	463	1663
218	465	1658
219	466	1654
220	467	1649
221	469	1644
222	470	1640
223	472	1636
224	474	1634
225	476	1630
226	477	1627
227	479	1623
228	480	1619
229	482	1615
230	484	1611
231	486	1609
232	489	1611
233	490	1606
234	492	1602
235	494	1599
236	495	1596
237	497	1594
238	499	1590
239	500	1586
240	503	1585
241	505	1582
242	506	1578
243	508	1574
244	509	1570
245	511	1566
246	512	1562
247	514	1559
248	515	1555
249	518	1554
250	519	1550
251	521	1547
252	522	1543
253	524	1539
254	525	1535
255	527	1532
256	528	1528
257	530	1524
258	532	1522
259	533	1519
260	535	1515
261	536	1512
262	538	1508
263	539	1504
264	541	1501
265	542	1497
266	544	1493
267	545	1490
268	547	1486
269	548	1483
270	549	1479
271	551	1475
272	552	1471
273	554	1469
274	556	1466
275	557	1463
276	561	1464
277	563	1462
278	564	1459
279	566	1456
280	567	1453
281	569	1449
282	570	1446
283	572	1443
284	574	1440
285	576	1438
286	577	1434
287	578	1431
288	580	1427
289	581	1424
290	583	1420
291	584	1417
292	586	1414
293	587	1411
294	590	1410
295	591	1407
296	593	1405
297	595	1401
298	596	1398
299	598	1395
300	599	1392
301	601	1389
302	602	1386
303	605	1385
304	606	1382
305	608	1379
306	609	1376
307	619	1390
308	620	1388
309	622	1385
310	623	1381
311	625	1379
312	627	1376
313	628	1373
314	630	1370
315	633	1372
316	635	1369
317	637	1366
318	638	1362
319	639	1359
320	641	1356
321	642	1353
322	644	1350
323	645	1347
324	648	1347
325	650	1345
326	652	1342
327	653	1339
328	655	1336
329	656	1333
330	658	1330
331	659	1327
332	661	1324
333	663	1323
334	665	1320
335	666	1317
336	668	1314
337	669	1311
338	671	1308
339	672	1305
340	674	1302
341	675	1299
342	678	1299
343	679	1296
344	681	1293
345	682	1290
346	684	1287
347	685	1284
348	686	1281
349	688	1278
350	689	1275
351	692	1274
352	693	1271
353	695	1269
354	696	1266
355	698	1262
356	699	1259
357	701	1257
358	702	1254
359	704	1251
360	705	1249
361	708	1248
362	709	1245
363	711	1242
364	712	1239
365	713	1236
366	715	1234
367	717	1231
368	718	1229
369	722	1230
370	724	1228
371	725	1225
372	727	1222
373	728	1219
374	730	1217
375	731	1214
376	733	1211
377	734	1208
378	737	1208
379	739	1205
380	740	1203
381	742	1200
382	744	1198
383	745	1196
384	747	1194
385	749	1192
386	751	1191
387	753	1189
388	755	1187
389	757	1184
390	758	1181
391	760	1178
392	761	1176
393	763	1173
394	765	1173
395	767	1170
396	768	1167
397	770	1165
398	772	1162
399	773	1160
400	774	1157
401	776	1154
402	777	1152
403	779	1149
404	781	1148
405	782	1145
406	784	1142
407	785	1139
408	786	1136
409	788	1134
410	789	1131
411	791	1129
412	792	1126
413	794	1124
414	795	1122
415	797	1119
416	798	1116
417	800	1114
418	801	1111
419	802	1108
420	804	1106
421	805	1103
422	807	1100
423	809	1099
424	811	1097
425	812	1095
426	814	1092
427	815	1089
428	817	1087
429	818	1085
430	820	1082
431	821	1080
432	824	1079
433	826	1077
434	827	1074
435	828	1072
436	830	1069
437	831	1067
438	833	1064
439	834	1062
440	835	1059
441	837	1056
442	842	1058
443	844	1057
444	846	1055
445	848	1053
446	849	1051
447	851	1048
448	854	1048
449	855	1045
450	857	1043
451	858	1040
452	859	1038
453	861	1035
454	862	1033
455	864	1030
456	865	1028
457	867	1026
458	870	1025
459	871	1023
460	872	1020
461	874	1018
462	875	1015
463	877	1013
464	878	1010
465	880	1008
466	881	1006
467	884	1005
468	886	1003
469	887	1001
470	889	998
471	890	996
472	892	994
473	893	991
474	895	989
475	896	987
476	900	987
477	902	985
478	905	984
479	907	983
480	910	982
481	912	980
482	915	979
483	917	977
484	920	977
485	923	976
486	924	974
487	928	974
488	931	972
489	933	971
490	939	973
491	940	971
492	942	969
493	944	967
494	946	965
495	947	962
496	949	961
497	952	960
498	954	958
499	958	958
500	959	955
501	961	953
502	963	952
503	965	949
504	967	948
505	970	947
506	971	944
507	973	942
508	975	940
509	977	939
510	979	937
511	984	938
512	991	941
513	993	939
514	996	938
515	998	936
516	1000	934
517	1001	932
518	1003	930
519	1005	927
520	1006	925
521	1007	922
522	1014	925
523	1018	925
524	1019	922
525	1021	920
526	1023	918
527	1027	918
528	1029	916
529	1031	914
530	1033	912
531	1034	910
532	1036	908
533	1038	906
534	1042	906
535	1043	903
536	1046	902
537	1047	899
538	1049	897
539	1051	896
540	1053	894
541	1057	893
542	1059	891
543	1061	889
544	1062	887
545	1064	884
546	1065	882
547	1067	880
548	1072	880
549	1074	878
550	1076	877
551	1077	874
552	1079	872
553	1081	870
554	1082	868
555	1085	867
556	1087	865
557	1089	862
558	1090	860
559	1092	858
560	1093	856
561	1096	854
562	1101	855
563	1103	853
564	1105	851
565	1108	849
566	1110	848
567	1112	846
568	1115	844
569	1116	842
570	1118	840
571	1120	838
572	1122	836
573	1123	834
574	1126	832
575	1129	831
576	1131	829
577	1133	827
578	1135	825
579	1136	823
580	1138	821
581	1142	820
582	1146	819
583	1148	817
584	1166	827
585	1168	825
586	1172	825
587	1175	823
588	1179	823
589	1184	823
590	1186	820
591	1188	819
592	1190	816
593	1195	816
594	1197	814
595	1200	813
596	1202	811
597	1204	809
598	1209	809
599	1211	807
600	1214	806
601	1216	804
602	1218	802
603	1223	802
604	1227	801
605	1230	799
606	1231	797
607	1233	795
608	1235	793
609	1239	792
610	1241	790
611	1243	788
612	1244	785
613	1245	783
614	1247	781
615	1249	779
616	1251	776
617	1254	775
618	1256	773
619	1258	771
620	1260	769
621	1262	766
622	1263	764
623	1264	762
624	1267	760
625	1270	758
626	1271	756
627	1273	754
628	1274	751
629	1276	749
630	1277	747
631	1279	745
632	1282	743
633	1284	741
634	1286	739
635	1287	736
636	1290	735
637	1291	732
638	1292	730
639	1294	728
640	1299	727
641	1300	725
642	1304	724
643	1306	722
644	1307	719
645	1309	717
646	1312	715
647	1314	713
648	1317	712
649	1319	710
650	1321	708
651	1322	705
652	1324	703
653	1327	702
654	1329	700
655	1330	697
656	1332	695
657	1334	693
658	1335	691
659	1337	689
660	1340	687
661	1342	685
662	1345	684
663	1347	681
664	1349	679
665	1351	677
666	1354	676
667	1356	674
668	1360	673
669	1363	671
670	1364	669
671	1366	666
672	1367	664
673	1369	662
674	1370	660
675	1373	658
676	1375	656
677	1378	654
678	1379	652
679	1383	650
680	1385	648
681	1386	646
682	1388	644
683	1390	642
684	1391	640
685	1393	637
686	1395	635
687	1398	634
688	1400	632
689	1402	630
690	1403	627
691	1405	625
692	1406	623
693	1408	621
694	1410	618
695	1413	617
696	1415	615
697	1416	613
698	1418	610
699	1419	608
700	1421	606
701	1423	604
702	1424	601
703	1427	600
704	1429	598
705	1431	596
706	1433	593
707	1434	591
708	1436	589
709	1437	587
710	1438	584
711	1440	582
712	1444	581
713	1445	579
714	1447	577
715	1448	574
716	1450	572
717	1452	570
718	1453	568
719	1455	565
720	1457	563
721	1458	561
722	1460	559
723	1462	557
724	1463	555
725	1465	552
726	1466	550
727	1469	549
728	1471	547
729	1473	545
730	1476	543
731	1477	541
732	1480	539
733	1482	537
734	1485	535
735	1486	533
736	1490	531
737	1491	529
738	1493	527
739	1496	525
740	1502	525
741	1504	523
742	1505	520
743	1507	518
744	1508	516
745	1510	514
746	1511	511
747	1515	510
748	1517	508
749	1518	506
750	1520	504
751	1521	501
752	1523	499
753	1524	497
754	1526	495
755	1530	493
756	1532	491
757	1533	489
758	1535	487
759	1537	485
760	1538	483
761	1539	480
762	1541	478
763	1546	477
764	1548	475
765	1550	473
766	1552	471
767	1553	469
768	1554	467
769	1556	464
770	1560	463
771	1561	461
772	1563	459
773	1565	457
774	1566	454
775	1568	452
776	1569	450
777	1571	448
778	1574	446
779	1575	444
780	1577	442
781	1579	440
782	1581	438
783	1582	435
784	1583	433
785	1585	431
786	1587	429
787	1589	427
788	1591	425
789	1592	423
790	1594	421
791	1595	419
792	1597	416
793	1598	414
794	1599	412
795	1603	410
796	1605	408
797	1606	406
798	1608	404
799	1609	402
800	1611	400
801	1612	398
802	1614	396
803	1615	393
804	1618	392
805	1620	389
806	1621	387
807	1623	385
808	1624	383
809	1626	381
810	1627	379
811	1629	377
812	1632	375
813	1634	373
814	1635	371
815	1637	369
816	1638	367
817	1640	364
818	1641	362
819	1643	360
820	1645	358
821	1648	356
822	1649	354
823	1651	352
824	1653	350
825	1654	348
826	1656	346
827	1658	344
828	1659	342
829	1662	340
830	1663	338
831	1665	336
832	1666	334
833	1668	332
834	1670	330
835	1671	327
836	1673	325
837	1675	323
838	1677	321
839	1679	319
840	1680	317
841	1681	315
842	1683	313
843	1684	311
844	1686	309
845	1687	307
846	1689	305
847	1691	303
848	1693	301
849	1694	299
850	1696	296
851	1697	294
852	1699	292
853	1700	290
854	1701	288
855	1703	286
856	1705	284
857	1707	282
858	1708	280
859	1710	278
860	1711	276
861	1713	274
862	1714	272
863	1716	270
864	1717	268
865	1720	266
866	1722	264
867	1723	262
868	1724	260
869	1726	257
870	1727	255
871	1729	253
872	1730	251
873	1732	249
874	1735	247
875	1736	245
876	1738	243
877	1739	241
878	1740	239
879	1742	237
880	1743	235
881	1745	233
882	1747	231
883	1749	229
884	1751	227
885	1753	225
886	1755	223
887	1756	221
888	1757	219
889	1759	217
890	1761	215
891	1762	213
892	1765	211
893	1767	209
894	1769	207
895	1771	205
896	1772	203
897	1774	201
898	1775	199
899	1777	197
900	1779	195
901	1781	193
902	1782	191
903	1784	189
904	1785	187
905	1787	185
906	1788	183
907	1790	181
908	1793	179
909	1795	177
910	1797	175
911	1798	173
912	1800	171
913	1801	169
914	1803	167
915	1805	165
916	1808	163
917	1810	161
918	1811	159
919	1813	157
920	1815	155
921	1816	153
922	1818	151
923	1819	149
924	1823	147
925	1825	145
926	1827	143
927	1828	141
928	1830	139
929	1831	137
930	1833	135
931	1835	133
932	1840	132
933	1841	130
934	1843	128
935	1845	126
936	1846	124
937	1848	122
938	1850	120
939	1855	118
940	1857	116
941	1859	114
942	1860	112
943	1861	110
944	1863	108
945	1864	106
946	1866	104
947	1870	102
948	1871	100
949	1873	98
950	1875	96
951	1877	94
952	1878	92
953	1880	90
954	1881	88
955	1883	86
956	1885	84
957	1886	82
958	1888	80
959	1890	78
960	1891	76
961	1892	74
962	1894	72
963	1898	70
964	1900	68
965	1901	66
966	1903	64
967	1904	62
968	1905	60
969	1907	58
970	1908	57
971	1912	55
972	1914	53
973	1916	51
974	1918	49
975	1919	47
976	1920	45
977	1922	43
978	1923	41
979	1925	39
980	1927	37
981	1928	35
982	1930	33
983	1931	31
984	1932	29
985	1934	27
986	1936	25
987	1937	23
988	1940	21
989	1942	19
990	1944	17
991	1945	15
992	1947	13
993	1948	11
994	1949	9
995	1951	7
996	1952	5
997	1955	3
998	1956	1
999	1958	0
